ID,时间,交易对,方向,幅度%,回撤%,入场价,最大盈利%,最大亏损%,最终盈亏%,盈利时间ms,亏损时间ms,TP0.3_SL0.2_结果,TP0.3_SL0.2_盈亏,TP0.3_SL0.3_结果,TP0.3_SL0.3_盈亏,TP0.3_SL0.5_结果,TP0.3_SL0.5_盈亏,TP0.5_SL0.2_结果,TP0.5_SL0.2_盈亏,TP0.5_SL0.3_结果,TP0.5_SL0.3_盈亏,TP0.5_SL0.5_结果,TP0.5_SL0.5_盈亏,TP0.8_SL0.2_结果,TP0.8_SL0.2_盈亏,TP0.8_SL0.3_结果,TP0.8_SL0.3_盈亏,TP0.8_SL0.5_结果,TP0.8_SL0.5_盈亏
BANUSDT_20260112024641_1,2026-01-12 02:46:41.327,BANUSDT,DOWN,0.50,30.2,0.0854,0.293,-0.597,-0.562,9152,56879,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31
币安人生USDT_20260112024739_29,2026-01-12 02:47:39.169,币安人生USDT,UP,0.41,33.9,0.1531,0.294,-0.026,0.039,18117,0,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
BANUSDT_20260112024822_67,2026-01-12 02:48:22.061,BANUSDT,UP,0.33,42.9,0.0849,0.353,-0.094,0.118,27188,38300,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
币安人生USDT_20260112025141_77,2026-01-12 02:51:41.741,币安人生USDT,DOWN,0.31,34.0,0.1520,0.099,-0.211,-0.132,44018,18207,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112025309_78,2026-01-12 02:53:09.939,RIVERUSDT,UP,0.30,30.6,16.3370,0.759,-0.141,0.661,55180,1022,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112025312_80,2026-01-12 02:53:12.582,RIVERUSDT,DOWN,0.36,98.3,16.3460,0.000,-0.814,-0.722,0,52537,SL,-0.27,SL,-0.29,SL,-0.31,SL,-0.27,SL,-0.29,SL,-0.31,SL,-0.27,SL,-0.29,SL,-0.31
VVVUSDT_20260112030931_98,2026-01-12 03:09:31.273,VVVUSDT,DOWN,0.33,45.5,3.3160,0.784,-0.211,0.663,36586,1425,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31
RIVERUSDT_20260112031116_102,2026-01-12 03:11:16.050,RIVERUSDT,UP,0.30,56.0,16.5010,0.133,-0.842,-0.182,7610,11088,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
RIVERUSDT_20260112031127_215,2026-01-12 03:11:27.064,RIVERUSDT,UP,0.34,130.4,16.5200,0.024,-0.726,-0.067,54029,74,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31,SL,-0.27,SL,-0.28,SL,-0.31
BANUSDT_20260112031413_492,2026-01-12 03:14:13.821,BANUSDT,UP,0.31,48.1,0.0865,0.000,-0.705,-0.416,0,9228,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32,SL,-0.27,SL,-0.29,SL,-0.32
